ticker,pe,roe,analyst_rating_raw
3546.T,15.10552,0.07906,none
3547.T,24.329998,0.19926001,none
3548.T,0.0,-0.08575,none
3549.T,20.533947,0.1346,hold
3550.T,33.53204,-0.08412,none
3551.T,5.4200816,0.080340005,none
3553.T,43.480175,0.01119,none
3556.T,27.100271,0.65948,none
3557.T,172.41994,-0.16455999,none
3558.T,14.903757,-0.03956,none
3559.T,20.704107,0.096,none
3560.T,18.903103,0.11411,none
3561.T,22.155146,0.17531,none
3562.T,16.55602,0.12605,none
3563.T,46.948875,0.28351998,buy
3565.T,9.025321,0.39566,none
3566.T,13.889432,0.14335,none
3569.T,12.65798,0.109160006,none
3571.T,29.0256,0.01854,none
3577.T,9.689539,0.06421,none
3580.T,20.618008,0.02617,none
3583.T,5.737135,0.08557,none
3591.T,20.367075,0.055159997,none
3597.T,23.3647,0.03331,none
3593.T,227.27272,0.00296,none
3598.T,37.583893,0.00307,none
3600.T,0.0,-0.01107,none
3607.T,5.525026,0.13979,none
3608.T,4.6317105,0.19277,none
3611.T,9.1157255,0.06871,none
3622.T,24.572458,0.10378,none
3612.T,9.478535,0.13057,strong_buy
3623.T,16.610168,0.13859001,none
3624.T,0.0,0.0,none
3625.T,9.538784,0.17829001,none
3626.T,15.230601,0.1634,hold
3628.T,0.0,0.0,none
3632.T,44.496487,0.01535,none
3627.T,7.3945413,-0.038310003,none
3633.T,11.261261,0.3386,none
3634.T,0.0,-0.337,none
3635.T,14.601851,0.15953,buy
3636.T,12.16536,0.11314999,none
3639.T,0.0,-0.00588,none
3640.T,6.679985,0.29734,none
3641.T,84.04702,0.0058099995,none
3645.T,72.96651,0.03588,none
3646.T,0.0,-0.0376,none
3647.T,0.0,-0.36106,none
